PageKey,Active,SortOrder,ProductLink,DisplayName,StyleImageUrl,Badge,CategoryLabel,Notes
corporate-stores,TRUE,1,https://products.promosapiensolutions.com/products/555707952,OGIO Envision Polo,assets/images/trending-products/555707952.webp,Trending,Apparel,Weekly ESP search: corporate apparel
corporate-stores,TRUE,2,https://products.promosapiensolutions.com/products/554494629,Brooks Brothers Grant Dual-Handle Backpack,assets/images/trending-products/554494629.webp,Trending,Bags,Weekly ESP search: business backpacks
corporate-stores,TRUE,3,https://products.promosapiensolutions.com/products/556169169,HidrateSpark PRO 2 Chug 21oz,assets/images/trending-products/556169169.webp,Trending,Drinkware,Weekly ESP search: premium drinkware
corporate-stores,TRUE,4,https://products.promosapiensolutions.com/products/7252232,Women's LAMBERT OXFORD SS SHIRT,assets/images/trending-products/7252232.webp,Trending,Apparel,Weekly ESP search: company store apparel
corporate-stores,TRUE,5,https://products.promosapiensolutions.com/products/556053731,Jerzees Unisex Premium Ring Spun Cotton Pique Sport Shirt,assets/images/trending-products/556053731.webp,Trending,Apparel,Weekly ESP search: premium polos
corporate-stores,TRUE,6,https://products.promosapiensolutions.com/products/555707949,OGIO Women's Envision Polo,assets/images/trending-products/555707949.webp,Trending,Apparel,Weekly ESP search: corporate apparel
corporate-stores,TRUE,7,https://products.promosapiensolutions.com/products/554494628,Brooks Brothers Grant Backpack,assets/images/trending-products/554494628.webp,Trending,Bags,Weekly ESP search: business backpacks
corporate-stores,TRUE,8,https://products.promosapiensolutions.com/products/553709148,Arctic Zone® Titan Thermal HP® Copper Tumbler 12oz,assets/images/trending-products/553709148.webp,Trending,Drinkware,Weekly ESP search: premium drinkware
corporate-stores,TRUE,9,https://products.promosapiensolutions.com/products/551950958,Kishigo Unisex Premium Black Series® High-Performance Polo,assets/images/trending-products/551950958.webp,Trending,Apparel,Weekly ESP search: premium polos
corporate-stores,TRUE,10,https://products.promosapiensolutions.com/products/552993625,Port Authority UV Choice Pique Polo,assets/images/trending-products/552993625.webp,Trending,Apparel,Weekly ESP search: corporate apparel
corporate-stores,TRUE,11,https://products.promosapiensolutions.com/products/4694191,Port Authority Urban Backpack.,assets/images/trending-products/4694191.webp,Trending,Bags,Weekly ESP search: business backpacks
corporate-stores,TRUE,12,https://products.promosapiensolutions.com/products/552295019,Copper Vacuum Insulated Bottle 17oz w/ Window Box,assets/images/trending-products/552295019.webp,Trending,Drinkware,Weekly ESP search: premium drinkware
corporate-stores,TRUE,13,https://products.promosapiensolutions.com/products/555785797,AllPro Men's Pro-Lock Performance Polo,assets/images/trending-products/555785797.webp,Trending,Apparel,Weekly ESP search: premium polos
corporate-stores,TRUE,14,https://products.promosapiensolutions.com/products/552629106,Port Authority Women's UV Choice Pique Henley,assets/images/trending-products/552629106.webp,Trending,Apparel,Weekly ESP search: corporate apparel
corporate-stores,TRUE,15,https://products.promosapiensolutions.com/products/550342292,OGIO Bolt Pack.,assets/images/trending-products/550342292.webp,Trending,Bags,Weekly ESP search: business backpacks
employee-programs,TRUE,1,https://products.promosapiensolutions.com/products/554745989,Welcome Aboard Happy's Gift Set,assets/images/trending-products/554745989.webp,Trending,Welcome Kits,Weekly ESP search: welcome gift set
employee-programs,TRUE,2,https://products.promosapiensolutions.com/products/556415975,Star Leather Keychain,assets/images/trending-products/556415975.webp,New,Recognition,Weekly ESP search: employee award
employee-programs,TRUE,3,https://products.promosapiensolutions.com/products/551532967,Corzo Copper Vacuum Insulated Cup 12oz,assets/images/trending-products/551532967.webp,Trending,Drinkware,Weekly ESP search: premium tumblers
employee-programs,TRUE,4,https://products.promosapiensolutions.com/products/556156542,New Hire Kit,assets/images/trending-products/556156542.webp,New,Onboarding Kits,Weekly ESP search: new hire kit
employee-programs,TRUE,5,https://products.promosapiensolutions.com/products/553235247,Freestanding 10 Year Anniversary Award,assets/images/trending-products/553235247.webp,Trending,Recognition,Weekly ESP search: employee award
employee-programs,TRUE,6,https://products.promosapiensolutions.com/products/554986590,Hydro Flask® All Around Travel Tumbler 40oz,assets/images/trending-products/554986590.webp,Trending,Drinkware,Weekly ESP search: premium tumblers
employee-programs,TRUE,7,https://products.promosapiensolutions.com/products/555318121,Stackable Clear Acrylic Top Award,assets/images/trending-products/555318121.webp,Trending,Recognition,Weekly ESP search: employee award
employee-programs,TRUE,8,https://products.promosapiensolutions.com/products/552078646,Thor Copper Vacuum Gift set,assets/images/trending-products/552078646.webp,Trending,Drinkware,Weekly ESP search: premium tumblers
employee-programs,TRUE,9,https://products.promosapiensolutions.com/products/553234678,Medium Clear Award,assets/images/trending-products/553234678.webp,Trending,Recognition,Weekly ESP search: employee award
employee-programs,TRUE,10,https://products.promosapiensolutions.com/products/556169170,HidrateSpark Pro 2 Tumbler 30oz,assets/images/trending-products/556169170.webp,Trending,Drinkware,Weekly ESP search: premium tumblers
employee-programs,TRUE,11,https://products.promosapiensolutions.com/products/555155522,Medium Star Sculpture Award,assets/images/trending-products/555155522.webp,Trending,Recognition,Weekly ESP search: employee award
employee-programs,TRUE,12,https://products.promosapiensolutions.com/products/553186018,Arctic Zone® Titan Thermal HP® 2 in 1 Cooler 12oz,assets/images/trending-products/553186018.webp,Trending,Drinkware,Weekly ESP search: premium tumblers
client-gifts,TRUE,1,https://products.promosapiensolutions.com/products/556491158,Sheaffer® 300 Pen and Pouch Set,assets/images/trending-products/556491158.webp,New,Executive Gifts,Weekly ESP search: Sheaffer gift set
client-gifts,TRUE,2,https://products.promosapiensolutions.com/products/554093834,"5.5"" x 8.5"" Recycled Cotton Bound Journal Set",assets/images/trending-products/554093834.webp,Trending,Gift Sets,Weekly ESP search: premium journal set
client-gifts,TRUE,3,https://products.promosapiensolutions.com/products/553635875,mophie® Snap+ Mini 5000 mAh Wireless Power Bank,assets/images/trending-products/553635875.webp,Trending,Tech Gifts,Weekly ESP search: mophie power bank
client-gifts,TRUE,4,https://products.promosapiensolutions.com/products/4944230,Eclipse Bonded Leather Zippered Portfolio With Calculator,assets/images/trending-products/4944230.webp,Trending,Executive Gifts,Weekly ESP search: leather portfolio
client-gifts,TRUE,5,https://products.promosapiensolutions.com/products/556476301,Sheaffer® 100 Glossy Pen Set,assets/images/trending-products/556476301.webp,New,Executive Gifts,Weekly ESP search: Sheaffer gift set
client-gifts,TRUE,6,https://products.promosapiensolutions.com/products/551762509,FSC® Mix Vienna Hard Bound Journal Bundle Set,assets/images/trending-products/551762509.webp,Trending,Gift Sets,Weekly ESP search: premium journal set
client-gifts,TRUE,7,https://products.promosapiensolutions.com/products/556196084,"mophie® Power Boost 2.0 10,000 mAh Power Bank",assets/images/trending-products/556196084.webp,Trending,Tech Gifts,Weekly ESP search: mophie power bank
client-gifts,TRUE,8,https://products.promosapiensolutions.com/products/4942803,Eclipse Bonded Leather Portfolio,assets/images/trending-products/4942803.webp,Trending,Executive Gifts,Weekly ESP search: leather portfolio
client-gifts,TRUE,9,https://products.promosapiensolutions.com/products/550807375,Revello Soft Bound Journal Bundle Set,assets/images/trending-products/550807375.webp,Trending,Gift Sets,Weekly ESP search: premium journal set
client-gifts,TRUE,10,https://products.promosapiensolutions.com/products/555211280,mophie® Snap+5000 mAh Wireless Power Bank w/ Stand,assets/images/trending-products/555211280.webp,Trending,Tech Gifts,Weekly ESP search: mophie power bank
client-gifts,TRUE,11,https://products.promosapiensolutions.com/products/4888614,"Leather Look 8 1/2"" x 11"" Zippered Portfolio With Calcul...",assets/images/trending-products/4888614.webp,Trending,Executive Gifts,Weekly ESP search: leather portfolio
client-gifts,TRUE,12,https://products.promosapiensolutions.com/products/551002031,Nova Bound Journal Bundle Set,assets/images/trending-products/551002031.webp,Trending,Gift Sets,Weekly ESP search: premium journal set
client-gifts,TRUE,13,https://products.promosapiensolutions.com/products/556124429,mophie® Powerstation Wireless XL with PD Powerbank,assets/images/trending-products/556124429.webp,Trending,Tech Gifts,Weekly ESP search: mophie power bank
client-gifts,TRUE,14,https://products.promosapiensolutions.com/products/4888166,Leather Look Portfolio,assets/images/trending-products/4888166.webp,Trending,Executive Gifts,Weekly ESP search: leather portfolio
client-gifts,TRUE,15,https://products.promosapiensolutions.com/products/551585232,Ambassador Power Gift Set,assets/images/trending-products/551585232.webp,Trending,Gift Sets,Weekly ESP search: premium journal set
resort-merchandise,TRUE,1,https://products.promosapiensolutions.com/products/555696973,TravisMathew Glenview Solid Polo,assets/images/trending-products/555696973.webp,Trending,Resort Apparel,Weekly ESP search: TravisMathew polo
resort-merchandise,TRUE,2,https://products.promosapiensolutions.com/products/554494730,LIMITED EDITION Tommy Bahama Palmetto Paradise Polo,assets/images/trending-products/554494730.webp,Trending,Resort Apparel,Weekly ESP search: Tommy Bahama polo
resort-merchandise,TRUE,3,https://products.promosapiensolutions.com/products/555789657,Port Authority Beach Wash Tote.,assets/images/trending-products/555789657.webp,Trending,Bags,Weekly ESP search: beach tote
resort-merchandise,TRUE,4,https://products.promosapiensolutions.com/products/555114784,Sport-Tek YP Classics Premium 5-Panel Snapback Cap,assets/images/trending-products/555114784.webp,Trending,Headwear,Weekly ESP search: premium caps
resort-merchandise,TRUE,5,https://products.promosapiensolutions.com/products/6816946,Carmel Towel Company Cabana Stripe Velour Beach Towel,assets/images/trending-products/6816946.webp,Trending,Resort Essentials,Weekly ESP search: resort towel
resort-merchandise,TRUE,6,https://products.promosapiensolutions.com/products/555696978,TravisMathew Glenview Stripe Polo,assets/images/trending-products/555696978.webp,Trending,Resort Apparel,Weekly ESP search: TravisMathew polo
resort-merchandise,TRUE,7,https://products.promosapiensolutions.com/products/555758296,Tommy Bahama Santiago Paradise Polo,assets/images/trending-products/555758296.webp,Trending,Resort Apparel,Weekly ESP search: Tommy Bahama polo
resort-merchandise,TRUE,8,https://products.promosapiensolutions.com/products/550531970,Port Authority Day Tote.,assets/images/trending-products/550531970.webp,Trending,Bags,Weekly ESP search: beach tote
